페트로 동물병원,인천,322030072,인천광역시 미추홀구 용현동 621-68번지,인천광역시 미추홀구 토금중로 36 (용현동),평일 10:00~20:30 | 토요일 10:00~19:00 | 공휴일 10:00~19:00 | 일요일 10:00~19:00
기린동물병원,경기,323220506,경기도 부천시 중동 1058-1 신명타운,"경기도 부천시 길주로 273, 신명타운 (중동)",토요일 09:30~17:30 | 금요일 09:30~17:30 | 목요일 09:30~17:30 | 수요일 09:30~17:30 | 화요일 09:30~17:30 | 공휴일 휴무 | 월요일 휴무 | 일요일 휴무 | 토요일 13:00~14:00 점심시간 | 금요일 13:00~14:00 점심시간 | 목요일 13:00~14:00 점심시간 | 수요일 13:00~14:00 점심시간 | 화요일 13:00~14:00 점심시간
S동물병원,경기,323225222,경기도 부천시 상동 542-4 상동 동양파라곤,"경기도 부천시 상동로 78 (상동, 상동 동양파라곤)",매일 10:00~22:00 점심시간 13:00~14:00
채움동물병원,경기,323227505,경기도 부천시 상동 538-6 대신스카이빌,"경기도 부천시 길주로 129, 대신스카이빌 (상동)",평일 09:30~20:00 진료는 오전10시부터이고 진료접수는 마감전 30분전까지입니다. | 토요일 09:30~17:00 점심시간 12:30~1:30 | 일요일 휴무
쿨펫동물병원(이마트 중동점),경기,323259617,경기도 부천시 중동 1157 (주)신세계이마트중동점,"경기도 부천시 석천로 188, (주)신세계이마트중동점 (중동)",매일 10:00~21:00
더본 동물병원,경기,323262992,경기도 부천시 중동 1150-6 우영프라자,"경기도 부천시 중동로262번길 32, 우영프라자 (중동)","매일 10:00~20:00 목요일은 오후5시까지 진료, 일요일, 공휴일 휴무"
상동물병원,경기,323280079,경기도 부천시 상동 564-14,경기도 부천시 조마루로97번길 34-9 (상동),
쓰담동물병원,경기,323297599,경기도 부천시 중동 1161-3 일신빌딩,"경기도 부천시 소향로 131, 일신빌딩 (중동)",매일 10:00~21:00 점심시간 13:00~14:00
보우동물병원,경기,323437582,경기도 부천시 옥길동 729-3,경기도 부천시 양지로171번길 26 (옥길동),평일 10:00~19:00 | 토요일 10:00~18:00 | 일요일 휴무
늘봄 동물병원,경기,323465454,경기도 부천시 소사본동 160-29,경기도 부천시 소사로 196 (소사본동),평일 09:00~19:00 점심시간 (1시~2시) | 토요일 09:00~18:00 | 공휴일 09:00~18:00 1월 1일 휴무 | 일요일 휴무
옥길아라동물의료센터,경기,323487775,경기도 부천시 옥길동 745-7 지음프라자,"경기도 부천시 양지로 208, 지음프라자 2층 (옥길동)","매일 10:00~22:00 연중무휴,  24시간 입원케어"
훈 동물병원,경기,325265500,경기도 부천시 송내동 315-3 송내역 파인 푸르지오 2단지,"경기도 부천시 송내대로 14, 송내역 파인 푸르지오 2단지 (송내동)",월요일 09:30~18:30 (오후2-4시 수술시간) | 수요일 09:30~18:30 (오후2-4시 수술시간) | 금요일 09:30~18:30 (오후2-4시 수술시간) | 화요일 09:30~20:00 19:00-20:00 야간진료 | 일요일 휴무 | 공휴일 휴무 | 토요일 09:00~16:00 | 목요일 09:30~18:30 (목요일 오전진료만)
